Afrikaans,Albanian,Amharic,Arabic,Armenian,Assamese,Aymara,Azerbaijani,Bambara,Basque,Belarusian,Bengali,Bhojpuri,Bosnian,Bulgarian,Catalan,Cebuano,Chinese(Simplified),Chinese(Traditional),Corsican,Croatian,Czech,Danish,Dhivehi,Dogri,Dutch,English,Esperanto,Estonian,Ewe,Filipino(Tagalog),Finnish,French,Frisian,Galician,Georgian,German,Greek,Guarani,Gujarati,Haitian-Creole,Hausa,Hawaiian,Hebrew,Hindi,Hmong,Hungarian,Icelandic,Igbo,Ilocano,Indonesian,Irish,Italian,Japanese,Javanese,Kannada,Kazakh,Khmer,Kinyarwanda,Konkani,Korean,Krio,Kurdish,Kurdish(Sorani),Kyrgyz,Lao,Latin,Latvian,Lingala,Lithuanian,Luganda,Luxembourgish,Macedonian,Maithili,Malagasy,Malay,Malayalam,Maltese,Maori,Marathi,Meiteilon(Manipuri),Mizo,Mongolian,Myanmar(Burmese),Nepali,Norwegian,Nyanja(Chichewa),Odia(Oriya),Oromo,Pashto,Persian,Polish,"Portuguese(Portugal,Brazil)",Punjabi,Quechua,Romanian,Russian,Samoan,Sanskrit,Scots-Gaelic,Sepedi,Serbian,Sesotho,Shona,Sindhi,Sinhala(Sinhalese),Slovak,Slovenian,Somali,Spanish,Sundanese,Swahili,Swedish,Tagalog(Filipino),Tajik,Tamil,Tatar,Telugu,Thai,Tigrinya,Tsonga,Turkish,Turkmen,Twi(Akan),Ukrainian,Urdu,Uyghur,Uzbek,Vietnamese,Welsh,Xhosa,Yiddish,Yoruba,Zulu
Hallo!,Përshëndetje!,ሀሎ!,مرحبًا!,Բարեւ Ձեզ!,নমস্কাৰ!,Kamisaki!,Salam!,Aw ni baara!,Kaixo!,Добры дзень!,হ্যালো!,प्रणाम!,Zdravo!,Здравейте!,Hola!,Hello!,你好！,你好！,Bonghjornu!,Zdravo!,Ahoj!,Hej!,އައްސަލާމް ޢަލައިކުމް!,नमस्कार!,Hallo!,Hello!,Saluton!,Tere!,Hello!,Kamusta!,Hei!,Bonjour!,Hallo!,Ola!,გამარჯობა!,Hallo!,Γειά σου!,Mba&#39;éichapa!,નમસ્તે!,Bonjou!,Sannu!,Aloha!,שלום!,नमस्ते!,Nyob zoo!,Helló!,Halló!,Nnọọ!,Hello!,Halo!,Dia dhuit!,Ciao!,こんにちは！,Hello!,ನಮಸ್ಕಾರ!,Сәлеметсіз бе!,សួស្តី!,Mwaramutse!,हॅलो!,안녕하세요!,Adu!,Slav!,سڵاو!,Салам!,ສະບາຍດີ!,Salve!,Sveiki!,Mbote!,Sveiki!,Nkulamusizza!,Hallo!,Здраво!,नमस्कार!,Salama!,helo!,ഹലോ!,Bongu!,Kia ora!,नमस्कार!,ꯍꯦꯜꯂꯣ!,Chibai!,Сайн уу?,မင်္ဂလာပါ!,नमस्ते!,Hallo!,Moni!,ନମସ୍କାର!,Akkam!,سلام!,سلام!,Cześć!,Olá!,ਸਤ ਸ੍ਰੀ ਅਕਾਲ!,Allinllachu!,Buna ziua!,Привет!,Talofa!,नमस्ते!,Halò!,Thobela!,Здраво!,Lumela!,Mhoro!,سلام!,ආයුබෝවන්!,Ahoj!,Zdravo!,Hello!,¡Hola!,Halo!,Habari!,Hallå!,Kamusta!,Салом!,வணக்கம்!,Сәлам!,హలో!,สวัสดี!,ሰላም!,Avuxeni!,Merhaba!,Salam!,Hɛlo!,Привіт!,ہیلو!,ياخشىمۇسىز!,Salom!,Xin chào!,Helo!,Mholo!,העלא!,Pẹlẹ o!,Sawubona!
Hoe gaan dit?,Si jeni?,ስላም?,كيف حالك؟,Ինչպես ես?,আপোনাৰ কেনে?,Kamisaraki?,Necəsən?,I ka kɛnɛ wa?,Zelan zaude?,Як ты?,আপনি কেমন আছেন?,का हाल बा?,Kako si?,Как си?,Com estàs?,Naunsa ka?,你好吗？,你好嗎？,Cumu si?,Kako si?,Jak se máte?,Hvordan har du det?,ހާލު ކިހިނެތް?,थुआढ़ा केह् हाल ऐ?,Hoe is het met je?,How are you?,Kiel vi fartas?,Kuidas sul läheb?,Efɔ̃a?,Kamusta ka?,Mitä kuuluu?,Comment allez-vous?,Hoe giet it mei dy?,Como estás?,Როგორ ხარ?,Wie geht es dir?,Πώς είσαι;,Mba&#39;éichapa reime?,તમે કેમ છો?,Koman ou ye?,Lafiya lau?,Pehea ʻoe?,מה שלומך?,आप कैसे हैं?,Koj nyob li cas?,Hogy vagy?,Hvernig hefurðu það?,Kedu ka ị mere?,Kumusta kan?,Apa kabarmu?,Conas tá tú?,Come stai?,元気ですか？,Piye kabare?,ನೀವು ಹೇಗಿದ್ದೀರಿ?,Қалдарыңыз қалай?,អ្នក​សុខសប្បាយ​ទេ?,Mumeze mute?,तूं कसो आसा?,어떻게 지내세요?,Aw di bɔdi?,Halê we çawa ye?,چۆنی?,Кандайсыз?,ສະ​ບາຍ​ດີ​ບໍ?,Quid agis?,Kā tev iet?,Boni?,Kaip laikaisi?,Oli otya?,Wéi geet et dir?,Како си?,अहांक कोना छी?,Manao ahoana ianao?,Apa khabar?,സുഖമാണോ?,Kif int?,Kei te pehea koe?,तू कसा आहेस?,ꯑꯗꯣꯝ ꯀꯝꯗꯧꯔꯤ?,I dam em?,Юу байна?,နေကောင်းလား?,तिमीलाई कस्तो छ?,Hvordan har du det?,Muli bwanji?,"କେମିତି ଅଛନ୍ତି, କେମିତି ଅଛ?",Akkam jirta?,تاسو څنګه یئ؟,چطور هستید؟,Jak się masz?,Como vai você?,ਤੁਸੀ ਕਿਵੇਂ ਹੋ?,Imaynallam?,Ce mai faci?,Как вы?,O a mai oe?,भवान्‌ कथमसि?,Ciamar a tha thu?,Le kae?,Како си?,U phela joang?,Makadii?,تون ڪيئن آهين؟,ඔයාට කොහොම ද?,Ako sa máš?,kako si,Sidee tahay?,¿Cómo estás?,Kumaha damang?,Habari yako?,Hur mår du?,Kamusta ka?,Шумо чӣ хелед?,எப்படி இருக்கிறீர்கள்?,Нихәл?,మీరు ఎలా ఉన్నారు?,คุณเป็นอย่างไร?,ከመይ አለካ?,Ku njhani?,Nasılsın?,Ýagdaýlaryňyz nähili?,Wo ho te sɛn?,Як справи?,آپ کیسے ہو؟,قانداق ئەھۋالىڭىز؟,Qalaysiz?,Bạn có khỏe không?,Sut wyt ti?,Icomo estas?,וואס מאכסטו?,Bawo ni o se wa?,Unjani?
Jammer,Na vjen keq,አዝናለሁ,آسف,Ներողություն,দুঃখিত,P&#39;ampachawi,Bağışlayın,Hakɛto,Barkatu,Прабачце,দুঃখিত,माँफ करीं,Izvini,съжалявам,Ho sento,Sorry,对不起,對不起,Scusa,Oprosti,Promiňte,Undskyld,މަޢާފަށް އެދެން,माफ करो,Sorry,Sorry,Pardonu,Vabandust,Babaa,Paumanhin,Anteeksi,Désolé,Sorry,Sentímolo,Ბოდიში,Verzeihung,Συγνώμη,chediskulpa,માફ કરશો,Padon,Yi hakuri,E kala mai,מצטער,क्षमा मांगना,Thov txim,Sajnálom,Því miður,Ndo,Pasensya,Maaf,Tá brón orm,Scusa,ごめん,Nuwun sewu,ಕ್ಷಮಿಸಿ,Кешіріңіз,សុំទោស,Ihangane,माफ करचें,죄송합니다,Sɔri,Bibore,ببوورە,Кечиресиз,ຂໍ​ໂທດ,Ignosce,Atvainojiet,Bolimbisi,Atsiprašau,Nsonyiwa,Entschëllegt,Извинете,माफ क दिय,miala tsiny,Maaf,ക്ഷമിക്കണം,Jiddispjacini,Aroha mai,क्षमस्व,ꯁꯣꯏꯈ꯭ꯔꯦ,Tihpalh,Уучлаарай,ဆောရီး,माफ गर्नुहोस्,Beklager,Pepani,ଦୁ Sorry ଖିତ,Dhiifama,اوبخښه,متاسف,Przepraszam,Desculpe,ਮਾਫ਼ ਕਰਨਾ,Llakikunim,Îmi pare rău,Извини,Malie,क्षम्यताम्‌,Duilich,Ke maswabi,Извињавам се,Tšoarelo,Ndine hurombo,افسوس,සමාවන්න,Prepáč,oprosti,Waan ka xumahay,Lo siento,Hapunten,Pole,Förlåt,Paumanhin,Бубахшед,மன்னிக்கவும்,Гафу итегез,క్షమించండి,ขอโทษ,ይሓዝን,ku tisola,Üzgünüm,Bagyşlaň,Kafra,вибач,معذرت,كەچۈرۈڭ,Kechirasiz,Lấy làm tiếc,Mae&#39;n ddrwg gennyf,Uxolo,אנטשולדיגט,Ma binu,Uxolo
Asseblief,Ju lutem,አባክሽን,لو سمحت,Խնդրում եմ,অনুগ্ৰহ কৰি,Amp suma,Zəhmət olmasa,Sabari,Mesedez,Калі ласка,অনুগ্রহ,कृप्या,Molim te,Моля те,Si us plau,Palihug,请,請,Per piacè,Molim,Prosím,Vær venlig,ޕްލީޒް,किरपा करियै,Alsjeblieft,Please,Bonvolu,Palun,Taflatsɛ,Pakiusap,Ole kiltti,S&#39;il te plaît,Asjebleaft,Por favor,გთხოვთ,Bitte,Σας παρακαλούμε,Mína,મહેરબાની કરીને,Tanpri,Don Allah,E ʻoluʻolu,אנא,कृपया,Thov,Kérem,Vinsamlegast,Biko,Maidawat,Silakan,Le do thoil,Per favore,お願いします,Mangga,ದಯವಿಟ್ಟು,Өтінемін,សូម,Nyamuneka,उपकार करून,제발,Duya,Ji kerema xwe ve,تکایە,Өтүнөмүн,ກະລຸນາ,Quaeso,Lūdzu,Palado,Prašau,Saba,Wann ech glift,Ве молам,कृपया,Mba miangavy re,Tolonglah,ദയവായി,Jekk jogħġbok,Tena koa,कृपया,ꯆꯥꯟꯕꯤꯗꯨꯅꯥ,Khawngaihin,Гуйя,ကျေးဇူးပြု,कृपया,Vær så snill,Chonde,ଦୟାକରି,Maaloo,مهرباني,لطفا,Proszę,Por favor,ਕ੍ਰਿਪਾ,Ama hina,Vă rog,Пожалуйста,Fa&#39;amolemole,कृपया,Mas e do thoil e,Hle,Молимо вас,Ka kopo,Ndapota,مهرباني ڪري,කරුණාකර,Prosím,prosim,Fadlan,Por favor,Punten,Tafadhali,Snälla du,Pakiusap,Лутфан,தயவு செய்து,Зинһар,దయచేసి,โปรด,በይዝኦም,Kombela,Lütfen,Haýyş edýärin,Mesrɛ wo,Будь ласка,برائے مہربانی,كەچۈرۈڭ,Iltimos,Vui lòng,Os gwelwch yn dda,Ndiyacela,ביטע,Jowo,Ngiyacela
Verskoon my,Më falni,ይቀርታ,اعذرني,Ներեցեք,ক্ষমা কৰিব,P&#39;ampacht&#39;ita,Bağışlayın,Hakɛ to,Barkatu,Прабачце,মাফ করবেন,माफ करेबि,Oprostite,Извинете ме,Disculpeu-me,Pasayloa ko,打扰一下,打擾一下,Perdonu,Ispričajte me,Promiňte,Undskyld mig,ވަގުތުކޮޅެއްދީ,मिगी माफ करेओ,Pardon,Excuse me,Pardonu min,Vabandage mind,Ago nam,pasensya na po,Anteeksi,Excuse-moi,Ekskusearje my,Con permiso,Უკაცრავად,Verzeihung,Με συγχωρείς,Ñyrõ,માફ કરશો,Eskize m,Ku yi hakuri,E kala mai iaʻu,סלח לי,माफ़ करें,Thov txim,Elnézést,Afsakið mig,Cheregodi,Dumalanak man,Permisi,Gabh mo leithscéal,Mi scusi,すみません,Nuwun sewu,ಕ್ಷಮಿಸಿ,Кешіріңіз,អត់ទោស,Mbabarira,म्हाका माफ करात,실례합니다,Sɔri ya,Bibûre,ببوورە,Кечиресиз,ຂໍ​ອະ​ໄພ,ignoscas,Atvainojiet,Limbisi nga,Atsiprašau,Nsaba kweetegula,Entschëlleg mech,Извини ме,क्षमा करु,Azafady,Maafkan saya,എക്സ്ക്യൂസ് മീ,Skużani,Aroha mai,मला माफ करा,ꯑꯩꯍꯥꯛꯄꯨ ꯑꯃꯨꯛꯇ ꯉꯥꯛꯄꯤꯚꯨ,Min hrethiam lawk,Уучлаарай,ကျေးဇူးပြု,मलाईं माफ गर्नुहोस्,Unnskyld meg,Pepani,କ୍ଷମା କରନ୍ତୁ,Dhiifama,بخښنه غواړم,ببخشید,Przepraszam,Com licença,ਮੈਨੂੰ ਮਾਫ਼ ਕਰੋ,Panpachaway,Scuzați-mă,Прошу прощения,Tulou,क्षमा प्रयच्छ मे,Gabh mo leisgeul,Tshwarelo,Извините,Ntšoarele,Pamusoroi,معاف ڪجو,මට සමාවෙන්න,Ospravedlnte ma,Oprostite,Raali noqo,Disculpe,Hapunten,Samahani,Ursäkta mig,pasensya na po,Мебахшед,மன்னிக்கவும்,Гафу итегез,క్షమించండి,ขออนุญาต,ይቅርታ ይግበሩለይ,Ndzi khomeli,Affedersin,Bagyşlaň meni,Ma me kwan,Вибачте,معاف کیجئے گا,كەچۈرۈڭ,Kechirasiz,Xin lỗi,Esgusodwch fi,Andivanga,אנטשולדיגט מיר,Mo tọrọ gafara,Uxolo
ja,po,አዎ,نعم,այո,হয়,Jïsa,bəli,Awɔ,bai,так,হ্যাঁ,हॅंं,da,да,sí,oo,是的,是的,Iè,Da,Ano,Ja,އާނ,हां,Ja,yes,jes,jah,Ɛ̃,oo,Joo,Oui,Ja,si,დიახ,Ja,Ναί,heẽ,હા,wi,iya,ʻAe,כן,हाँ,yog,Igen,Já,ee,Wen,Ya,tá,SÌ,はい,ya wis,ಹೌದು,иә,បាទ,yego,हय,예,Yɛs,erê,بەڵێ,ооба,ແມ່ນແລ້ວ,sic,Jā,Iyo,taip,Yee,Jo,да,हँ,ENY,ya,അതെ,iva,āe,होय,ꯍꯣꯏ,Awle,тиймээ,ဟုတ်တယ်,हो,ja,inde,ହଁ,Eeyyee,هو,آره,Tak,sim,ਹਾਂ,Arí,da,да,ioe,आम्‌,Tha,Ee,да,ho joalo,Ehe,ها,ඔව්,Áno,ja,haa,Sí,enya,ndio,ja,oo,бале,ஆம்,әйе,అవును,ใช่,እወ,Ina,Evet,hawa,Aane,так,جی ہاں,ھەئە,ha,Đúng,oes,Ewe,יאָ,beeni,yebo
geen,nr,አይ,لا,ոչ,নহয়,Janiwa,yox,Ayi,ez,няма,না,ना,br,не,no,dili,不,不,Innò,Ne,Ne,ingen,ނޫން,नेईं,Nee,no,ne,ei,Ao,hindi,ei,Non,Nee,non,არა,NEIN,όχι,nahániri,ના,non,a&#39;a,ʻAʻole,לא,नहीं,tsis muaj,nem,nei,mba,Saan,TIDAK,níl,NO,いいえ,ora,ಇಲ್ಲ,жоқ,ទេ,oya,ना,아니요,Nɔ,na,نەخێر,жок,ບໍ່,no,Nē,Te,ne,Nedda,Nee,бр,नहि,tsy misy,tidak,ഇല്ല,le,kahore,नाही,ꯅꯠꯇꯦ,Aih,үгүй,မဟုတ်ဘူး,छैन,Nei,ayi,ନା,Lakki,نه,نه,NIE,não,ਨਹੀਂ,Manam,Nu,нет,leai,नहि,Chan eil,Aowa,не,che,Aihwa,نه,නැත,č,št,maya,No,henteu,Hapana,Nej,hindi,не,இல்லை,юк,లేదు,เลขที่,አይኮንን,E-e,HAYIR,ýok,Daabi,немає,نہیں,ياق,yo&#39;q,KHÔNG,nac oes,Hayi,ניין,rara,cha
Dankie,faleminderit,አመሰግናለሁ,شكرًا لك,շնորհակալություն,ধন্যবাদ,pay suma,çox sağ ol,a&#39; ni cɛ,eskerrik asko,Дзякуй,ধন্যবাদ,धन्यबाद,hvala ti,Благодаря ти,gràcies,salamat,谢谢,謝謝,Grazie,Hvala vam,Děkuji,tak skal du have,ޝުކުރިއްޔާ,थुआढ़ा धन्नवाद,Bedankt,thank you,Dankon,aitäh,akpe na wò,Salamat,Kiitos,merci,Tanke,grazas,გმადლობთ,Danke,ευχαριστώ,aguyje,આભાર,mèsi,na gode,Mahalo,תודה,धन्यवाद,ua tsaug,köszönöm,Þakka þér fyrir,Daalụ,aagyaman,Terima kasih,go raibh maith agat,Grazie,ありがとう,matur nuwun,ಧನ್ಯವಾದ,рақмет сізге,សូមអរគុណ,murakoze,तुका देव बरें करूं,감사합니다,tɛnki,Spas dikim,سوپاس,Рахмат,ຂອບ​ໃຈ,gratias tibi,Paldies,matondi,Ačiū,weebale,Merci,Ви благодарам,अहां कें धन्यवाद,Misaotra anao,terima kasih,നന്ദി,Grazzi,whakawhetai koe,धन्यवाद,ꯊꯥꯒꯠꯆꯔꯤ,ka lawm e,баярлалаа,ကျေးဇူးတင်ပါသည်,धन्यवाद,Takk skal du ha,Zikomo,ଧନ୍ୟବାଦ,galatoomaa,له تاسو مننه,متشکرم,Dziękuję,obrigado,ਤੁਹਾਡਾ ਧੰਨਵਾਦ,riqsikuyki,mulțumesc,Спасибо,fa&#39;afetai,धन्यवाद,Tapadh leat,ke a leboga,Хвала вам,kea leboha,Ndatenda,تنهنجي مهرباني,ඔයාට ස්තූතියි,Ďakujem,Hvala vam,mahadsanid,gracias,hatur nuhun,Asante,tack,Salamat,сипос,நன்றி,рәхмәт,ధన్యవాదాలు,ขอบคุณ,የቕንየለይ,inkomu,Teşekkürler,sagbol,meda wo ase,Дякую,شکریہ,رەھمەت سىزگە,rahmat,Cảm ơn,Diolch,Enkosi,אדאנק,e dupe,Ngiyabonga
Hoeveel,Sa shumë,ስንት ነው,كم ثمن,Ինչքան,কিমান,Qawqha,Nə qədər,Joli,Zenbat,Колькі,কত,कतना,Koliko,Колко,Quant,Tagpila,多少,多少,Quantu,Koliko,Jak moc,Hvor meget,ކިހާ ވަރެއް,किन्ना,Hoe veel,How much,Kiom,Kui palju,Nenie,Magkano,Kuinka paljon,Combien,Hoefolle,Canto,Რამდენი,Wie viel,Πόσο,Mboýpa,કેટલુ,Konbyen,Nawa,ʻehia,כמה,कितना,Ntau npaum li cas,Mennyi,Hversu mikið,Ego ole,Mano,Berapa harganya,Cé mhéad,Quanto,いくら,Pinten,ಎಷ್ಟು,Қанша,ប៉ុន្មាន,Ni bangahe,कितले,얼마나 많이,Ɔmɔs,Çiqas,چەند,Канча,ເທົ່າ​ໃດ,How much,Cik daudz,Boni,Kiek,Mmeka,Wéi vill,Колку,कतेक,Ohatrinona,Berapa banyak,എത്രമാത്രം,Kemm,Kia pehea te nui,किती,ꯀꯌꯥꯅꯣ,Eng zat nge,Хэр их,ဘယ်လောက်ပါလဲ,कति,Hvor mye,Zingati,କେତେ,Hammam,څومره,چقدر,Ile,Quanto,ਕਿੰਨੇ ਹੋਏ,Hayka,Cât costă,Сколько,E fia,कियत्‌,Cò mheud,Ke bokae,Колико,Bokae,Ngani,ڪيترو,කොපමණ ද,Koľko,Koliko,Intee,Cuánto,Sakumaha,Kiasi gani,Hur mycket,Magkano,Чӣ қадар,எவ்வளவு,Күпме,ఎంత,เท่าไร,ክንደይ,Swingani,Ne kadar,Näçe,Sɛn,Скільки,کتنا,قانچىلىك,Narxi qancha,Bao nhiêu,Faint,Kagakanani,ווי פיל,Elo ni,Malini
Totsiens,Mirupafshim,ባይ,الوداع,Ցտեսություն,বিদায়,Jan mayampitaki,sağol,K&#39;an bɛn,Agur,Бывай,বাই,बाए,ćao,Чао,Adéu,Bye,再见,再見,Avvedeci,Pozdrav,sbohem,Farvel,ދަނީ,अलविदा,Doei,Bye,Adiaŭ,Hüvasti,Xede nyuie,Bye,Hei hei,Au revoir,Doei,Adeus,Ნახვამდის,Tschüss,Αντίο,Jajohecha peve,બાય,Bye,Wallahi,Aloha,ביי,अलविदा,Bye,Viszlát,Bless,Daalụ,Pakada,Selamat tinggal,Slán,Ciao,さよなら,Bye,ವಿದಾಯ,Сау болыңыз,លាហើយ,Bye,बाय,안녕,Baybay,Xatirê te,خواحافایز,Кош болуңуз,ສະບາຍດີ,vale,Uz redzēšanos,Tikala malamu,Ate,Eelaba,Äddi,Чао,विदा,veloma,Selamat tinggal,ബൈ,Bye,Kia ora,बाय,ꯀꯥꯏꯅꯔꯁꯤ,Mangtha,Баяртай,အဲ့ဒီတော့,बाइ,Ha det,Bye,ବିଦାୟ,Nagaatti,د خدای په امان,خدا حافظ,Do widzenia,Tchau,ਬਾਈ,Tupanchikkama,Pa,Пока,Fa,पुनर्मिलामः,Beannachd leat,Šala gabotse,Здраво,Sala hantle,Chisarai,خدا حافظ,ආයුබෝවන්,Zbohom,adijo,Bye,Adiós,aduh,Kwaheri,Hejdå,paalam,Хайр,வருகிறேன்,Сау бул,బై,ลาก่อน,ቻው,Sala kahle,Hoşçakal,Hoş gal!,Akyire,до побачення,الوداع,باي,Xayr,Tạm biệt,Hwyl,Uxolo,ביי,Kabiyesi,Sala kahle
